Field_ID,area_m2,annual_et_ensemble_mm,annual_et_ssebop_mm,annual_et_eemetric_mm,annual_et_sims_mm,annual_et_pt_jpl_mm,annual_et_geesebal_mm,annual_et_disalexi_mm,annual_gridmet_precip_mm,annual_gridmet_precip_eff_mm,annual_tmmx_K,annual_tmmn_K,annual_eto_mm,annual_etr_mm,annual_vpd_kPa,annual_vs_mps,annual_rmax,annual_rmin,annual_daymet_precip_mm,annual_daymet_precip_eff_mm,annual_ndvi,YEAR,eff_factor,HSG,soil_depth_mm,ksat_mean_micromps,elevation_m,annual_et_ensemble_m3,annual_et_ssebop_m3,annual_et_eemetric_m3,annual_et_pt_jpl_m3,annual_et_sims_m3,annual_et_geesebal_m3,annual_et_disalexi_m3,annual_gridmet_precip_eff_m3,pumping_m3,method,outlier,year,WUR_Report_ID,fid,num_fields,pumping_mm,annual_net_et_ensemble_mm,pumping_net_et_ensemble_factor_annual,annual_net_et_ssebop_mm,pumping_net_et_ssebop_factor_annual,annual_net_et_eemetric_mm,pumping_net_et_eemetric_factor_annual,annual_net_et_pt_jpl_mm,pumping_net_et_pt_jpl_factor_annual,annual_net_et_sims_mm,pumping_net_et_sims_factor_annual,annual_net_et_geesebal_mm,pumping_net_et_geesebal_factor_annual,annual_net_et_disalexi_mm,pumping_net_et_disalexi_factor_annual
15,241159.816432172,869.4756357166311,838.7509664163698,896.1172514588914,872.6247444953985,794.7284926022814,936.0822910157704,784.8062613189866,228.9999998807907,212.86095856358324,289.0666809082031,273.3555603027344,1139.0999966189263,1537.100006006658,307.5099997613579,3.2300546169281006,95.3000030517578,34.18000030517578,0.0,180.7433855419901,0.8226035352859014,2016,0.9295238370060748,6,1567.0847080550177,10.653082416987656,1258.6019699216265,209682.5847016688,202273.0290932786,216107.47186352877,191656.57738938296,210442.0231966813,225745.43346677016,189263.733914506,51333.5096927699,88958.5776,VLM,0.0,2016,10823,15,1,368.8781112711631,656.6146771530478,0.6,625.8900078527865,0.6,683.2562928953082,0.5,581.8675340386983,0.6,659.7637859318153,0.6,723.221332452187,0.5,571.9453027554033,0.6
3103,482002.2540442018,1525.4048033663685,1358.387792139872,1586.8769421520087,1672.8972826157246,1572.5073823087746,1505.7694380258354,1269.7957208147232,388.2000017762184,360.8411551767956,288.25,273.7416687011719,2352.600002929568,3218.80000372231,586.9600007645786,3.907103776931762,94.4499969482422,35.05000305175781,0.0,440.36641668889865,0.7519208110786308,4032,1.8590476740121495,7,1489.8504413406006,8.364768939426275,1310.9872020369967,367557.1636566256,327200.2344830682,382435.288008217,378980.09136554564,403178.8594712198,362763.1806381354,305848.97007003485,86963.12507356453,518061.60000000003,ECF,0.0,2016,37683,1551_1552,2,1074.8115712182778,582.1425859085906,1.8,498.4149086312631,2.2,613.0099194672155,1.8,605.8414952250448,1.8,656.0461735281779,1.6,572.1966095604166,1.9,454.1178867109561,2.4
1087,253510.1103783565,723.8030754967948,745.0738340924661,700.6857793542664,829.4200592526904,718.9778205489943,675.99398403805,713.5710830746904,281.6999997496605,261.8468646519147,289.1000061035156,273.1000061035156,1135.999998025596,1533.300000704825,305.13999969884753,3.280327796936035,96.36666870117188,33.76666641235352,0.0,181.5939119464328,0.7627913230333592,2016,0.9295238370060748,3,1630.3696014383092,8.44405626801338,1257.8722921914348,183491.39756138634,188883.74992080635,177630.92926464483,182268.14664696573,210266.37077117251,171371.30950859102,180897.48403306815,66380.82756013348,232807.01520000002,FMT,0.0,2016,37976,1087,1,918.3342425773169,461.95621084488005,2.0,483.22696944055133,1.9,438.8389147023517,2.1,457.1309558970795,2.0,567.5731946007757,1.6,414.1471193861353,2.2,451.7242184227756,2.0
1635,498272.5421714985,1764.0275523183723,1704.2245998084618,1816.8996502407026,1860.761885981244,1624.9035875887994,1812.8174545901757,1547.5215228800541,392.0000017285346,364.3733457130954,288.0666809082031,273.7535705566406,2379.200001552701,3266.599997714162,582.5400005020201,4.075956344604492,93.4800033569336,34.599998474121094,0.0,440.4829225070554,0.8269539858294376,4032,1.8590476740121495,6,1520.0,7.708399641536483,1312.2758280072646,444875.493902109,428478.4797163949,462500.04408126575,404455.7912176066,470011.4364456899,452671.54721979424,388187.7272717518,90778.61663399916,353515.368,FMT,0.0,2016,47099,533_1102,2,709.4819362499106,710.6489868475124,1.0,677.7412650728888,1.0,746.0202920820896,1.0,629.5293198709795,1.1,761.0951592053893,0.9,726.295149655741,1.0,596.8803926895665,1.2
2506,1040978.2738069522,1467.7634420802488,1610.513213279093,1441.2365075992807,1466.8484436140457,1313.8981497769023,1557.5416768003554,1375.2888379418794,421.46095140369914,391.7580006969953,289.45725913185254,273.65509678416566,2318.599674107326,3144.8777791785506,625.1549212875093,3.22870521913992,92.87844744264824,32.757617931289516,0.0,382.87178358526006,0.7467512265906558,4032,1.8590476740121495,5,1595.7497507229969,7.225116917509517,1256.5641139802851,760010.1800144766,835315.195915084,746131.180771241,679884.220534767,757208.591941861,807587.1764429172,713587.4469036955,203910.769710241,897973.4400000001,OTH,0.0,2016,49257,1075_1431,2,862.6245740134706,534.208469376147,1.6,606.54909145773,1.4,520.8758191254566,1.7,457.2366809192356,1.9,531.5171662595411,1.6,579.9125898420308,1.5,489.61317447051084,1.8
1422,475512.89615880087,836.3428122612777,898.1464284561504,830.1589307424973,878.836668047538,759.0508053323005,847.7668517263272,752.4005196733482,210.5999990105629,195.757719153774,289.45001220703125,273.6307678222656,1159.7999968454242,1573.200002677739,312.3599997665733,3.232240438461304,92.86666870117188,32.724998474121094,0.0,192.3658677037632,0.8594748741619314,2016,0.9295238370060748,5,1651.626037291202,6.436135359581152,1255.4284968769005,397691.7928399564,427080.20936986734,394751.2774294583,360938.4467752324,417898.1692738355,403124.07093181455,357776.15018126066,93085.31998025224,359251.05,FMT,0.0,2016,60733,1422,1,755.5022227620628,640.5850931075037,1.2,702.3887093023764,1.1,634.4012115887233,1.2,563.2930861785264,1.3,683.0789488937639,1.1,652.0091325725532,1.2,556.6428005195743,1.4
4638,1238995.5577198067,2440.050781201625,2257.799163072867,2663.6175905270575,2632.3224174132383,2263.357977264764,2495.3740243806687,2076.3515872334224,580.4999996423721,539.5885870496028,288.5714416503906,273.6000061035156,3487.20000012964,4743.899991586805,877.5000000614673,3.6647541522979736,94.18000030517578,34.81999969482422,0.0,648.4874609134663,0.8525755176145019,6048,2.7885715110182243,6,1519.8848526047789,7.388403962549699,1303.1674806590272,1022884.0645526994,955809.0854660526,1117953.3259083997,936416.9234812577,1091436.6383350978,1048393.7052353078,878020.605825136,222849.287450255,868394.5896,FMT,0.0,2016,61755,1539_1549_1550,3,700.8859589441591,645.7123854219409,1.1,591.5758078783631,1.2,722.4432992362418,1.0,575.924289304331,1.2,701.0415376172558,1.0,666.301354061631,1.1,528.7923062295959,1.3
999,486539.6996350685,828.9404318728699,843.3620055076693,829.2888209059745,881.8404636235839,775.3693192289262,865.2954659140565,781.7137381066458,211.800000756979,196.87314938151664,289.51666259765625,273.8545227050781,1155.1999980434775,1566.2000011727214,314.3600001484156,3.199726819992065,92.9749984741211,33.025001525878906,0.0,187.5048062342816,0.751265267414535,2016,0.9295238370060748,5,1548.6680581514297,8.335219800189556,1255.6776241334478,403312.4287387901,410329.09684333036,403481.9338343129,377247.9556838893,429050.39429746807,421000.5960814117,380334.76733901404,95786.60296629307,301585.86,FMT,0.0,2016,62470,999,1,619.8586882554619,632.0672824913534,1.0,646.4888561261527,1.0,632.4156715244579,1.0,578.4961698474096,1.1,684.9673142420673,0.9,668.4223165325399,0.9,584.8405887251292,1.1
1254,535213.1855490814,869.8379847597334,849.0701234260422,905.5958168294304,887.216740345516,764.8261977403027,908.090191533079,842.6045289742273,214.00000128149983,198.91810231048467,289.3599853515625,274.1100158691406,1151.09999833256,1556.700000487268,316.7299995608628,3.139617443084717,93.25,33.380001068115234,0.0,175.47958320877987,0.7931732595239807,2016,0.9295238370060748,5,1675.6293493350408,6.68931362742253,1250.6975928720271,465548.7587348503,454433.52551340376,484686.8219452019,409345.0656839791,474850.0978727958,486021.8441762947,450973.0541103795,106463.59120097259,121288.0884,VLM,0.0,2016,62560,1254,1,226.61640571423726,670.9198824492487,0.3,650.1520211155574,0.3,706.6777145189457,0.3,565.9080954298181,0.4,688.2986380350312,0.3,709.1720892225942,0.3,643.6864266637426,0.4
2894,634264.4200204511,1501.479611779966,1409.7847513375455,1504.9328231053491,1682.3357738130098,1422.7660839410455,1501.122969819417,1337.9680721881437,429.059252118892,398.8208023325092,289.28209059374467,273.8719900022287,2304.0877348771296,3117.7282661730865,628.5664600960295,3.170127918779937,92.68924156257549,33.02144493948066,0.0,373.4769206247229,0.7412194830911257,4032,1.8590476740121495,5,1201.6712609987444,8.33910924142706,1255.6391538724374,525958.3354396301,514605.1978646337,537148.140175202,472285.20090073324,559900.7661341712,534680.7380495584,489899.98257074214,126257.52120332708,671568.1860000001,VLM,1.0,2016,62841,1446_1448,2,1058.8142181747262,630.1800977948836,1.7,612.2804060943304,1.7,647.8222741212984,1.6,545.5574501345178,1.9,683.6947355755218,1.5,643.9320951237689,1.6,573.3294346791356,1.8
