OPENET_ID,field_id,area_m2,annual_et_mm,annual_precip_mm,wy_et_mm,wy_precip_mm,irrigated,YEAR
NV_235,0,309639.1321896407,715.3300609846798,203.49999821186063,687.2786921104904,164.19999927282333,0.0165104863900044,2018
NV_238,1,481071.53314021183,801.0644135099162,216.79999870061877,816.6642431694606,173.9999986886978,0.0,2018
NV_239,2,501239.481288169,672.3449267513334,246.599998742342,674.0810690785016,197.6999989449978,0.9726772996831756,2018
NV_240,3,462084.5578080055,719.1113868647402,202.79999968409535,698.1720937327651,162.69999918341637,0.2433203083746964,2018
NV_241,4,524721.6388002747,766.692510785605,214.48963068255827,763.4017515306513,172.8244914477252,0.9482135937378904,2018
NV_300,5,503693.84722064686,831.612323263831,174.59999930858612,822.0739965903163,140.49999901652336,0.9905346319531464,2018
NV_301,6,242033.0793547041,819.1714080910352,174.59999930858612,821.6643071546976,140.49999901652336,0.9180704269521972,2018
NV_984,8,485005.52131050505,903.265536912564,174.50000044703484,935.0554819893056,139.19999966025352,0.9847298814931528,2018
NV_1051,10,375378.2102567985,512.2563361397847,214.0999988913536,486.74653278357687,173.99999910593033,0.8630773888472406,2018
NV_1053,11,517699.1326891153,891.9500340688713,194.1000008881092,921.1395932700872,153.59999999403954,0.9799360553488128,2018
NV_1054,12,497764.71295456256,783.1666984353471,201.5196501835256,794.4844487770873,161.61842544735026,0.9892168021827809,2018
NV_4753,15,522493.5234816583,784.2038485258374,215.58473353293772,764.148235099012,173.57446769326998,0.9824986914182956,2018
NV_4766,22,494108.2402537869,874.5376342316844,174.5130346202753,886.2908837627651,139.3694457575317,0.9792249388484868,2018
NV_4782,23,505755.67202775634,710.5977946995788,214.2795298058184,720.0907734593917,174.1679473785529,0.9897809672520372,2018
NV_4783,24,495243.7763903519,733.2401844042911,232.699998408556,737.1650516725298,191.39999842643735,0.9909545762415608,2018
NV_4784,25,532670.3377676448,798.2099981708806,231.299999922514,805.9306103162347,188.8999999761581,0.8567545321518575,2018
NV_4786,27,522551.72969421,840.6734524734521,231.299999922514,835.4699766899769,188.8999999761581,0.7992955192955197,2018
NV_4787,28,511605.6456590771,718.6744904654068,225.05110339238396,733.5722766619402,184.2445806017792,0.996232724502106,2018
NV_4788,29,499296.6337903984,759.3885076025548,214.4790086727072,790.0319431880355,174.46382052952077,0.9914251201187376,2018
NV_4789,30,498418.38631354977,727.1750421896276,233.02745410884611,733.7377297367688,191.99312553362304,0.9924628432824888,2018
NV_4790,31,496116.7602495948,886.748779422205,201.7799292565716,879.5284528425534,161.83829588845157,0.97052045218721,2018
NV_4791,32,498695.60040066857,773.6898362009929,180.90000015497208,785.6784887449322,144.20000031590462,0.9814897340304116,2018
NV_4792,33,498886.8414981847,928.9755202224248,182.0999990105629,920.436384074026,146.99999955296516,0.97908249706764,2018
NV_4793,34,510719.0119633483,809.0378318713214,180.90000015497208,783.3486804748485,144.20000031590462,0.9794416230185896,2018
NV_4794,35,507704.22877437953,658.4707295074531,202.79999968409535,630.3343384585829,162.69999918341637,0.9795488143969516,2018
NV_4795,36,488843.7500595533,729.6176390698186,214.33206947014125,729.1483688572297,172.6880262952766,0.9807311732586824,2018
NV_4796,37,521585.149617041,562.449107801669,201.5103252057297,604.4248984130611,161.610548183315,0.9798281076249964,2018
NV_4797,38,512987.0208427857,720.8432916261571,214.55299684701103,699.2528479942506,172.87937344031377,0.9576235363740117,2018
NV_4798,39,472876.8977061365,846.6747608156055,215.02284404243176,847.0234856432038,173.28631223043203,0.9933848102862188,2018
NV_4800,40,533815.2813888217,846.5913017454334,182.0999990105629,854.5142257143297,146.99999955296516,0.9767224806358836,2018
NV_4801,41,535505.0897450355,853.7907980707427,202.79999968409535,854.6353339507766,162.69999918341637,0.9639200562784364,2018
NV_4802,42,509698.5469838583,826.9334071008309,182.40597728270347,831.2548330123741,143.4107931721091,0.9809445786209028,2018
NV_4803,43,514504.6294202004,735.917558796257,183.70000115036964,697.5384546489082,144.10000178217888,0.9827141111017446,2018
NV_4806,45,472519.2907714697,766.0168242085168,176.60000121593475,786.7070581424015,141.5000010728836,0.960785550097162,2018
NV_4809,46,496483.11136664986,791.4975768160234,202.79999968409535,796.2465753424652,162.69999918341637,0.9722971129181904,2018
NV_4810,47,520068.0370533636,773.1461075660889,203.22422850926975,784.9463784346917,163.60906291776743,0.9600989712202108,2018
NV_4811,48,498503.186079373,782.5069903983396,276.1000006198883,801.321385320704,219.30000028014183,0.926900869339562,2018
NV_4812,49,489602.12264812685,826.720340953119,182.0999990105629,837.7210217523669,146.99999955296516,0.9686057452814522,2018
NV_4875,50,482164.4518052898,790.6485348356047,183.70000115036964,809.0657075068596,144.10000178217888,0.9354900373318938,2018
NV_4876,51,481200.65345006005,869.9775467658325,183.70000115036964,898.9466700473291,144.10000178217888,0.9793835925174664,2018
NV_4877,52,505357.92486376985,790.8925985130502,174.50000044703484,793.0497419832418,139.19999966025352,0.9789831672227524,2018
NV_4878,53,528371.8245987284,713.786010469055,174.50000044703484,704.9159191214205,139.19999966025352,0.9703633377809708,2018
NV_4881,55,496876.817754501,881.4501400697885,212.71309342169965,899.6718435150143,169.359658497549,0.9764092986681082,2018
NV_4882,56,506553.4339038087,822.3946208042008,235.0829779484036,814.1364086902939,190.8275580806034,0.9160706153392808,2018
NV_4884,58,488770.1321499517,932.8591961509256,175.51182630099763,926.1175675001524,140.30819015614043,0.5764853913650805,2018
NV_4887,59,496100.9481887695,574.1982962586537,180.90000015497208,581.4733483052743,144.20000031590462,0.972941221469982,2018
NV_4888,60,502448.0874323714,228.569637800372,180.90000015497208,175.16260416947588,144.20000031590462,0.025469942555085,2018
